Inchi-key,SMILES,TITLE,set
DJRVQTGRQLOAPG-OAHLLOKOSA-P,Cc1c(c[nH]n1)C[NH2+]Cc2ccccc2C[N@H+]3CCCC[C@H]3C,,3CLPro_7BQY_A_1_F.Orderable_zinc_db_enaHLL.sorted.4col.csv
NRKMMFZDIURZCA-FUHIMQAGSA-O,Cc1ccc(cc1)OC[C@H](C[N@H+]2C[C@@]3(C[C@H]2CC(C3)(C)C)C)O,,ADRP_6W02_A_1_H.Orderable_zinc_db_enaHLL.sorted.4col.csv
XRCNTHCYXBCFRQ-KRWDZBQOSA-P,c1cc(cnc1)C[N@@H+](Cc2ccc(cc2)C(=O)N)C[C@H]3CC[NH2+]C3,,NPRBD_6VYO_AB_1_F.Orderable_zinc_db_enaHLL.sorted.4col.csv
UWPKSBCATUCAQO-NRFANRHFSA-O,Cc1cc(n(n1)Cc2cccc(c2)CNC(=O)[C@@H](C[NH3+])c3ccccc3)C,,NPRBD_6VYO_A_1_F.Orderable_zinc_db_enaHLL.sorted.4col.csv
VMTMJCYVXIIGOU-JQWIXIFHSA-M,C[C@@H](c1cccc(c1)OC)C(=O)N2CC[C@@H](C2)C(=O)[O-],,NPRBD_6VYO_BC_1_F.Orderable_zinc_db_enaHLL.sorted.4col.csv
VNFZQLBRGJZAMR-KRWDZBQOSA-M,Cc1cc(c2ccccc2n1)SC[C@@H](C(=O)[O-])NC(=O)c3ccccc3,,NPRBD_6VYO_CD_1_F.Orderable_zinc_db_enaHLL.sorted.4col.csv
GKCCMNDAZGKXGJ-SNRMKQJTSA-N,Cc1ccc(cc1)c2cc(on2)C[N@H+]3[C@H]4CCCC[C@H]4C[C@H]3C(=O)[O-],,NPRBD_6VYO_DA_1_F.Orderable_zinc_db_enaHLL.sorted.4col.csv
OYNUYVFRFMYEIV-UHFFFAOYSA-N,c1cc2c(cc1C(=O)[O-])nc([nH]2)CC[NH3+],,NSP10-16_6W61_AB_1_F.Orderable_zinc_db_enaHLL.sorted.4col.csv
XSWWGBRDVLNEPO-GFCCVEGCSA-O,c1cc(ccc1c2c[nH]cc2C(=O)N3CC[C@H](C3)[NH3+])F,,NSP10-16_6W61_AB_2_F.Orderable_zinc_db_enaHLL.sorted.4col.csv
KFXWYMHLDOCYHN-LBPRGKRZSA-N,c1ccc(c(c1)C[N@@H+]2CCC[C@@H](CC2)CC(=O)[O-])F,,NSP10_6W61_B_1_F.Orderable_zinc_db_enaHLL.sorted.4col.csv
